Unnamed: 0,Life Status,Airbag Available,Seatbelt in Use,Gender,Age of Occ,Accident Year,Vehicle Year,Airbag Deploy,Occ Role
94.0,alive,airbag,belted,m,23,1997,1995.0,nodeploy,driver
95.0,alive,airbag,none,f,42,1997,1993.0,nodeploy,driver
96.0,alive,none,belted,f,17,1997,1986.0,unavail,driver
97.0,alive,none,belted,m,71,1997,1987.0,unavail,driver
98.0,alive,none,belted,m,66,1997,1979.0,unavail,driver
99.0,alive,none,none,f,20,1997,1989.0,unavail,driver
100.0,alive,none,none,m,18,1997,1987.0,unavail,driver
101.0,alive,none,none,m,26,1997,1987.0,unavail,pass
102.0,alive,none,none,m,20,1997,1981.0,unavail,driver
103.0,alive,none,none,f,19,1997,1981.0,unavail,pass
104.0,alive,none,none,m,18,1997,1986.0,unavail,driver
105.0,alive,none,belted,m,25,1997,1979.0,unavail,driver
106.0,alive,none,belted,m,21,1997,1982.0,unavail,driver
107.0,alive,none,belted,f,18,1997,1982.0,unavail,pass
108.0,alive,none,belted,f,18,1997,1990.0,unavail,driver
109.0,alive,none,none,f,20,1997,1990.0,unavail,pass
110.0,alive,none,belted,m,23,1997,1993.0,unavail,driver
111.0,alive,airbag,none,m,26,1997,1992.0,deploy,driver
112.0,alive,none,none,m,55,1997,1992.0,unavail,pass
113.0,alive,none,belted,f,37,1997,1988.0,unavail,driver
114.0,alive,airbag,none,f,50,1997,1996.0,deploy,driver
115.0,alive,none,belted,m,45,1997,1981.0,unavail,driver
116.0,alive,none,belted,m,75,1997,1987.0,unavail,driver
117.0,alive,airbag,belted,f,57,1997,1995.0,deploy,driver
118.0,alive,none,belted,f,17,1997,1989.0,unavail,driver
119.0,alive,none,belted,f,17,1997,1989.0,unavail,pass
120.0,alive,airbag,belted,f,50,1997,1995.0,deploy,driver
121.0,alive,none,none,f,77,1997,1989.0,unavail,driver
122.0,alive,airbag,none,m,22,1997,1994.0,deploy,driver
123.0,alive,none,belted,m,53,1997,1991.0,unavail,driver
124.0,alive,airbag,belted,m,42,1997,1991.0,deploy,driver
125.0,alive,none,belted,m,42,1997,1991.0,unavail,pass
126.0,alive,none,belted,m,20,1997,1987.0,unavail,driver
127.0,alive,airbag,belted,f,43,1997,1997.0,deploy,driver
128.0,alive,none,belted,m,17,1997,1985.0,unavail,driver
129.0,alive,none,none,m,16,1997,1985.0,unavail,pass
130.0,alive,airbag,none,f,30,1997,1992.0,deploy,driver
131.0,alive,none,belted,f,61,1997,1993.0,unavail,driver
132.0,alive,none,none,f,36,1997,1983.0,unavail,driver
133.0,alive,none,none,f,38,1997,1983.0,unavail,pass
134.0,alive,airbag,belted,m,31,1997,1996.0,nodeploy,driver
135.0,alive,airbag,none,f,25,1997,1996.0,nodeploy,pass
136.0,alive,none,belted,m,52,1997,1984.0,unavail,driver
137.0,alive,none,none,f,46,1997,1987.0,unavail,driver
138.0,alive,airbag,belted,f,30,1997,1993.0,deploy,driver
139.0,alive,none,belted,m,16,1997,1991.0,unavail,driver
140.0,alive,none,belted,f,16,1997,1991.0,unavail,pass
141.0,alive,none,belted,m,58,1997,1992.0,unavail,driver
142.0,alive,none,belted,f,18,1997,1987.0,unavail,driver
143.0,alive,none,belted,m,21,1997,1992.0,unavail,driver
144.0,alive,none,belted,f,17,1997,1992.0,unavail,pass
145.0,alive,none,none,m,71,1997,1986.0,unavail,driver
146.0,alive,airbag,belted,f,72,1997,1994.0,deploy,driver
147.0,alive,airbag,belted,m,71,1997,1994.0,deploy,pass
148.0,alive,none,belted,f,74,1997,1988.0,unavail,driver
149.0,alive,none,belted,m,41,1997,1985.0,unavail,driver
150.0,alive,none,belted,m,54,1997,1987.0,unavail,driver
151.0,alive,none,belted,f,61,1997,1987.0,unavail,pass
152.0,alive,none,none,m,41,1997,1984.0,unavail,driver
153.0,alive,none,belted,m,17,1997,1988.0,unavail,driver
154.0,alive,none,belted,f,17,1997,1988.0,unavail,pass
155.0,alive,airbag,belted,m,67,1997,1997.0,deploy,driver
156.0,alive,airbag,belted,f,66,1997,1997.0,deploy,pass
157.0,alive,none,belted,m,23,1997,1984.0,unavail,driver
158.0,alive,none,belted,m,29,1997,1988.0,unavail,driver
159.0,alive,none,belted,m,46,1997,1984.0,unavail,driver
160.0,alive,none,none,m,23,1997,1986.0,unavail,driver
161.0,alive,none,none,m,24,1997,1986.0,unavail,pass
162.0,alive,none,belted,m,67,1997,1986.0,unavail,driver
163.0,alive,none,none,m,51,1997,1985.0,unavail,driver
164.0,alive,none,none,m,46,1997,1985.0,unavail,pass
165.0,alive,none,belted,m,63,1997,1988.0,unavail,driver
166.0,alive,none,belted,f,51,1997,1988.0,unavail,pass
167.0,alive,airbag,belted,f,21,1997,1992.0,deploy,driver
168.0,alive,none,none,f,20,1997,1991.0,unavail,driver
169.0,alive,airbag,belted,f,21,1997,1996.0,deploy,driver
170.0,alive,none,belted,m,26,1997,1996.0,unavail,pass
171.0,alive,none,none,m,30,1997,1985.0,unavail,driver
172.0,alive,none,none,f,28,1997,1986.0,unavail,driver
173.0,alive,none,none,f,44,1997,1989.0,unavail,driver
174.0,alive,none,none,f,30,1997,1989.0,unavail,pass
175.0,alive,none,none,m,43,1997,1995.0,unavail,driver
176.0,alive,none,none,m,38,1997,1988.0,unavail,driver
177.0,alive,none,belted,m,59,1997,1981.0,unavail,driver
178.0,alive,none,belted,m,36,1997,1988.0,unavail,driver
179.0,alive,none,none,f,53,1997,1984.0,unavail,driver
180.0,alive,airbag,belted,f,32,1997,1996.0,nodeploy,driver
181.0,alive,airbag,belted,f,26,1997,1996.0,nodeploy,pass
182.0,alive,airbag,belted,f,36,1997,1996.0,nodeploy,driver
183.0,alive,none,none,m,39,1997,1984.0,unavail,driver
184.0,alive,none,belted,m,26,1997,1987.0,unavail,driver
185.0,alive,none,belted,m,28,1997,1988.0,unavail,driver
186.0,alive,none,none,m,23,1997,1983.0,unavail,driver
187.0,alive,airbag,belted,m,49,1997,1992.0,nodeploy,driver
188.0,alive,none,none,m,39,1997,1994.0,unavail,driver
189.0,alive,none,belted,f,35,1997,1992.0,unavail,driver
190.0,alive,none,belted,m,38,1997,1990.0,unavail,driver
191.0,alive,none,belted,f,38,1997,1987.0,unavail,driver
192.0,alive,none,belted,m,61,1997,1987.0,unavail,pass
193.0,alive,airbag,belted,m,19,1997,1996.0,deploy,driver
194.0,alive,airbag,none,m,22,1997,1997.0,deploy,driver
195.0,alive,none,none,m,26,1997,1986.0,unavail,driver
196.0,alive,none,none,f,26,1997,1986.0,unavail,pass
197.0,alive,none,belted,f,32,1997,1981.0,unavail,driver
198.0,alive,none,belted,f,19,1997,1986.0,unavail,driver
199.0,alive,none,none,m,31,1997,1989.0,unavail,driver
200.0,alive,none,none,m,31,1997,1989.0,unavail,pass
201.0,alive,airbag,none,m,78,1997,1993.0,deploy,driver
202.0,alive,airbag,none,m,28,1997,1994.0,nodeploy,driver
203.0,alive,airbag,belted,m,22,1997,1995.0,nodeploy,driver
204.0,alive,airbag,belted,f,70,1997,1995.0,nodeploy,pass
205.0,alive,none,none,m,66,1997,1989.0,unavail,driver
206.0,alive,none,belted,m,43,1997,1990.0,unavail,driver
207.0,alive,none,none,m,21,1997,1985.0,unavail,driver
208.0,alive,none,belted,f,39,1997,1992.0,unavail,driver
209.0,alive,none,belted,f,17,1997,1993.0,unavail,driver
210.0,alive,none,none,f,18,1997,1993.0,unavail,pass
211.0,alive,airbag,belted,f,77,1997,1995.0,nodeploy,driver
212.0,alive,none,none,f,30,1997,1993.0,unavail,driver
213.0,alive,none,belted,f,22,1997,1990.0,unavail,driver
214.0,alive,airbag,belted,m,56,1997,1991.0,deploy,driver
215.0,alive,none,none,m,17,1997,1987.0,unavail,driver
216.0,alive,none,none,m,17,1997,1987.0,unavail,pass
217.0,alive,none,none,m,19,1997,1987.0,unavail,driver
218.0,alive,airbag,belted,m,84,1997,1993.0,deploy,driver
219.0,alive,none,belted,f,17,1997,1989.0,unavail,driver
220.0,alive,none,belted,f,26,1997,1986.0,unavail,driver
221.0,alive,airbag,belted,m,87,1997,1995.0,deploy,driver
222.0,alive,airbag,belted,m,36,1997,1995.0,nodeploy,driver
223.0,alive,airbag,belted,m,68,1997,1994.0,deploy,driver
224.0,alive,none,belted,m,71,1997,1994.0,unavail,pass
225.0,alive,none,belted,f,40,1997,1991.0,unavail,driver
226.0,alive,airbag,belted,m,21,1997,1995.0,deploy,driver
227.0,alive,none,belted,f,81,1997,1993.0,unavail,driver
228.0,alive,none,belted,m,54,1997,1991.0,unavail,driver
229.0,alive,airbag,belted,f,22,1997,1996.0,deploy,driver
230.0,alive,none,belted,m,52,1997,1988.0,unavail,driver
231.0,alive,airbag,belted,f,60,1997,1997.0,nodeploy,driver
232.0,alive,none,belted,f,18,1997,1989.0,unavail,driver
233.0,alive,airbag,none,m,18,1997,1994.0,deploy,driver
234.0,alive,airbag,belted,f,79,1997,1994.0,deploy,driver
235.0,alive,airbag,belted,f,73,1997,1994.0,nodeploy,driver
236.0,alive,airbag,belted,f,72,1997,1994.0,nodeploy,pass
237.0,alive,none,belted,f,51,1997,1988.0,unavail,driver
238.0,alive,airbag,none,m,73,1997,1990.0,deploy,driver
239.0,alive,none,none,f,56,1997,1990.0,unavail,pass
240.0,alive,none,none,m,59,1997,1985.0,unavail,driver
241.0,alive,airbag,belted,f,23,1997,1992.0,nodeploy,driver
242.0,alive,none,belted,f,17,1997,1986.0,unavail,driver
243.0,alive,airbag,belted,m,30,1997,1997.0,deploy,driver
244.0,alive,none,none,f,25,1997,1997.0,unavail,pass
245.0,alive,none,none,f,56,1997,1988.0,unavail,driver
246.0,alive,none,belted,m,79,1997,1990.0,unavail,driver
247.0,alive,airbag,belted,f,24,1997,1994.0,deploy,driver
248.0,alive,none,belted,m,22,1997,1994.0,unavail,pass
249.0,alive,none,none,m,25,1997,1992.0,unavail,driver
250.0,alive,airbag,belted,f,73,1997,1991.0,deploy,driver
251.0,alive,none,belted,m,39,1997,1993.0,unavail,driver
252.0,alive,airbag,belted,f,39,1997,1995.0,deploy,driver
253.0,alive,airbag,belted,m,37,1997,1995.0,nodeploy,driver
254.0,alive,none,belted,f,74,1997,1991.0,unavail,driver
255.0,alive,airbag,belted,m,77,1997,1996.0,nodeploy,driver
256.0,alive,airbag,belted,f,76,1997,1996.0,nodeploy,pass
257.0,alive,none,belted,m,20,1997,1989.0,unavail,driver
258.0,alive,none,belted,f,24,1997,1987.0,unavail,driver
259.0,alive,none,none,m,41,1997,1987.0,unavail,driver
260.0,alive,none,belted,m,44,1997,1986.0,unavail,driver
261.0,alive,airbag,belted,m,19,1997,1995.0,deploy,driver
262.0,alive,airbag,none,m,46,1997,1995.0,deploy,driver
263.0,alive,airbag,none,m,86,1997,1995.0,deploy,pass
264.0,alive,airbag,belted,m,62,1997,1992.0,deploy,driver
265.0,dead,none,none,m,23,1997,1986.0,unavail,driver
266.0,alive,none,belted,m,26,1997,1994.0,unavail,driver
267.0,alive,airbag,belted,m,78,1997,1996.0,deploy,driver
268.0,alive,none,none,m,37,1997,1974.0,unavail,driver
269.0,alive,airbag,belted,m,47,1997,1991.0,deploy,driver
270.0,alive,none,belted,f,44,1997,1991.0,unavail,pass
271.0,alive,airbag,belted,m,62,1997,1994.0,nodeploy,driver
272.0,alive,airbag,belted,f,50,1997,1994.0,nodeploy,driver
273.0,alive,airbag,belted,f,76,1997,1994.0,nodeploy,pass
274.0,alive,airbag,none,m,51,1997,1995.0,deploy,driver
275.0,alive,none,belted,f,17,1997,1989.0,unavail,driver
276.0,alive,none,none,m,18,1997,1989.0,unavail,pass
277.0,alive,none,belted,f,17,1997,1989.0,unavail,driver
278.0,alive,none,none,f,42,1997,1989.0,unavail,driver
279.0,alive,airbag,belted,f,81,1997,1995.0,deploy,driver
280.0,alive,airbag,belted,f,77,1997,1991.0,nodeploy,driver
281.0,alive,airbag,belted,m,85,1997,1991.0,nodeploy,pass
282.0,alive,none,belted,m,83,1997,1985.0,unavail,driver
283.0,alive,airbag,belted,f,72,1997,1992.0,deploy,driver
284.0,alive,none,belted,m,18,1997,1986.0,unavail,driver
285.0,alive,airbag,belted,f,40,1997,1996.0,nodeploy,driver
286.0,alive,airbag,belted,f,23,1997,1996.0,deploy,driver
287.0,alive,airbag,belted,f,50,1997,1995.0,nodeploy,driver
288.0,alive,none,belted,m,32,1997,1990.0,unavail,driver
289.0,alive,airbag,none,m,56,1997,1994.0,deploy,driver
290.0,alive,none,belted,f,17,1997,1987.0,unavail,driver
291.0,alive,airbag,belted,m,76,1997,1996.0,deploy,driver
292.0,alive,airbag,belted,f,74,1997,1996.0,deploy,pass
293.0,alive,airbag,belted,m,73,1997,1996.0,deploy,driver
294.0,alive,none,none,m,38,1997,1987.0,unavail,driver
295.0,alive,none,none,f,41,1997,1987.0,unavail,pass
296.0,alive,none,none,m,64,1997,1993.0,unavail,driver
297.0,alive,airbag,belted,f,36,1997,1994.0,nodeploy,driver
298.0,alive,none,belted,f,18,1997,1979.0,unavail,driver
299.0,alive,airbag,belted,f,80,1997,1990.0,nodeploy,driver
300.0,alive,none,none,m,23,1997,1988.0,unavail,driver
301.0,alive,none,belted,f,22,1997,1983.0,unavail,driver
302.0,alive,airbag,belted,m,71,1997,1998.0,nodeploy,driver
303.0,alive,airbag,belted,f,21,1997,1995.0,nodeploy,driver
304.0,alive,none,belted,f,25,1997,1990.0,unavail,driver
305.0,alive,airbag,belted,m,79,1997,1997.0,deploy,driver
306.0,alive,airbag,belted,f,26,1997,1995.0,deploy,driver
307.0,alive,airbag,belted,m,38,1997,1994.0,nodeploy,driver
308.0,alive,airbag,belted,f,39,1997,1994.0,nodeploy,pass
309.0,alive,none,belted,f,17,1997,1987.0,unavail,driver
310.0,alive,none,belted,m,83,1997,1992.0,unavail,driver
311.0,dead,none,belted,f,77,1997,1992.0,unavail,pass
312.0,alive,none,belted,m,70,1997,1987.0,unavail,driver
313.0,alive,none,belted,f,65,1997,1987.0,unavail,pass
314.0,alive,none,belted,f,42,1997,1988.0,unavail,driver
315.0,alive,none,none,f,27,1997,1987.0,unavail,driver
316.0,alive,none,belted,f,51,1997,1987.0,unavail,driver
317.0,dead,none,none,m,34,1997,1990.0,unavail,driver
318.0,alive,none,none,m,20,1997,1981.0,unavail,driver
319.0,alive,airbag,belted,m,22,1997,1995.0,deploy,driver
320.0,alive,none,none,m,28,1997,1979.0,unavail,driver
321.0,dead,airbag,belted,m,37,1997,1995.0,deploy,driver
322.0,alive,airbag,none,m,31,1997,1996.0,deploy,driver
323.0,alive,none,none,m,68,1997,1991.0,unavail,driver
324.0,alive,airbag,none,m,45,1997,1993.0,deploy,driver
325.0,alive,airbag,belted,f,61,1997,1993.0,deploy,driver
326.0,alive,none,none,m,19,1997,1984.0,unavail,driver
327.0,alive,airbag,belted,m,30,1997,1995.0,nodeploy,driver
328.0,alive,airbag,belted,f,21,1997,1995.0,nodeploy,pass
329.0,alive,none,belted,m,22,1997,1989.0,unavail,driver
330.0,alive,none,belted,m,34,1997,1994.0,unavail,driver
331.0,alive,none,belted,f,29,1997,1994.0,unavail,driver
332.0,alive,airbag,none,f,73,1997,1995.0,deploy,driver
333.0,alive,airbag,belted,f,22,1997,1994.0,deploy,driver
334.0,alive,none,belted,f,60,1997,1986.0,unavail,driver
335.0,alive,airbag,belted,m,32,1997,1993.0,nodeploy,driver
336.0,alive,airbag,belted,m,30,1997,1993.0,nodeploy,pass
337.0,alive,none,belted,m,32,1997,1989.0,unavail,driver
338.0,alive,none,none,f,20,1997,1989.0,unavail,driver
339.0,alive,airbag,belted,m,73,1997,1994.0,deploy,driver
340.0,alive,airbag,none,m,34,1997,1997.0,nodeploy,driver
341.0,alive,airbag,belted,m,31,1997,1994.0,nodeploy,driver
342.0,alive,airbag,belted,f,39,1997,1994.0,nodeploy,driver
343.0,alive,none,belted,f,48,1997,1989.0,unavail,driver
344.0,alive,airbag,belted,m,26,1997,1997.0,deploy,driver
345.0,alive,none,belted,m,20,1997,1993.0,unavail,driver
346.0,alive,airbag,belted,f,41,1997,1997.0,nodeploy,driver
347.0,alive,airbag,belted,f,41,1997,1997.0,deploy,driver
348.0,alive,none,belted,m,27,1997,1992.0,unavail,driver
349.0,alive,airbag,belted,f,54,1997,1995.0,nodeploy,driver
350.0,alive,none,belted,m,18,1997,1994.0,unavail,driver
351.0,alive,none,none,f,38,1997,1985.0,unavail,driver
352.0,alive,none,none,m,29,1997,1985.0,unavail,pass
353.0,alive,none,none,m,85,1997,1986.0,unavail,driver
354.0,alive,none,none,f,55,1997,1986.0,unavail,pass
355.0,alive,none,none,f,40,1997,1988.0,unavail,driver
356.0,alive,none,belted,m,78,1997,1993.0,unavail,driver
357.0,alive,none,belted,f,83,1997,1993.0,unavail,pass
358.0,alive,airbag,none,f,20,1997,1994.0,deploy,driver
359.0,dead,none,none,f,33,1997,1987.0,unavail,driver
360.0,alive,none,none,m,37,1997,1987.0,unavail,pass
361.0,alive,airbag,belted,m,37,1997,1994.0,deploy,driver
362.0,alive,none,none,f,18,1997,1985.0,unavail,driver
363.0,alive,none,belted,f,79,1997,1990.0,unavail,driver
364.0,alive,airbag,belted,f,17,1997,1995.0,deploy,driver
365.0,alive,airbag,belted,f,17,1997,1995.0,deploy,pass
366.0,alive,none,none,m,26,1997,1989.0,unavail,driver
367.0,alive,none,none,m,20,1997,1989.0,unavail,pass
368.0,alive,none,belted,m,23,1997,1987.0,unavail,driver
369.0,alive,none,belted,f,19,1997,1987.0,unavail,pass
370.0,alive,none,belted,m,34,1997,1988.0,unavail,driver
371.0,alive,none,belted,f,34,1997,1990.0,unavail,driver
372.0,dead,airbag,none,f,84,1997,1996.0,deploy,driver
373.0,alive,none,belted,f,49,1997,1985.0,unavail,driver
374.0,alive,none,belted,f,82,1997,1985.0,unavail,pass
375.0,dead,none,none,m,87,1997,1981.0,unavail,driver
376.0,alive,none,none,m,16,1997,1989.0,unavail,driver
377.0,alive,airbag,belted,f,33,1997,1994.0,deploy,driver
378.0,alive,none,belted,m,47,1997,1994.0,unavail,driver
379.0,alive,none,belted,f,18,1997,1990.0,unavail,driver
380.0,alive,airbag,belted,m,62,1997,1994.0,deploy,driver
381.0,alive,none,belted,m,74,1997,1985.0,unavail,driver
382.0,alive,none,none,m,37,1997,1991.0,unavail,driver
383.0,alive,none,none,f,42,1997,1991.0,unavail,pass
384.0,alive,airbag,belted,f,36,1997,1995.0,nodeploy,driver
385.0,alive,none,none,f,30,1997,1990.0,unavail,driver
386.0,alive,none,none,m,50,1997,1989.0,unavail,driver
387.0,alive,none,belted,m,18,1997,1979.0,unavail,driver
388.0,alive,none,none,m,20,1997,1979.0,unavail,pass
389.0,alive,airbag,belted,f,17,1997,1991.0,nodeploy,driver
390.0,alive,airbag,belted,f,17,1997,1991.0,nodeploy,pass
391.0,alive,airbag,belted,m,44,1997,1994.0,deploy,driver
392.0,alive,airbag,belted,f,27,1997,1997.0,deploy,driver
393.0,alive,none,belted,m,58,1997,1990.0,unavail,driver
394.0,alive,none,belted,m,63,1997,1993.0,unavail,driver
395.0,alive,airbag,belted,m,17,1997,1992.0,deploy,driver
396.0,alive,none,belted,f,18,1997,1990.0,unavail,driver
397.0,alive,airbag,belted,m,28,1997,1995.0,deploy,driver
398.0,alive,none,none,m,56,1997,1995.0,unavail,pass
399.0,alive,none,belted,f,56,1997,1995.0,unavail,driver
400.0,alive,none,belted,f,73,1997,1989.0,unavail,driver
401.0,alive,none,belted,f,62,1997,1989.0,unavail,pass
402.0,alive,airbag,belted,m,20,1997,1994.0,deploy,driver
403.0,alive,airbag,belted,f,45,1997,1994.0,deploy,pass
404.0,alive,airbag,none,f,26,1997,1992.0,deploy,driver
405.0,alive,none,none,m,39,1997,1992.0,unavail,driver
406.0,alive,airbag,belted,m,44,1997,1995.0,deploy,driver
407.0,alive,airbag,belted,f,23,1997,1992.0,deploy,driver
408.0,alive,none,belted,f,22,1997,1992.0,unavail,pass
409.0,alive,none,belted,f,22,1997,1991.0,unavail,driver
410.0,alive,none,none,m,49,1997,1988.0,unavail,driver
411.0,alive,airbag,belted,f,24,1997,1993.0,nodeploy,driver
412.0,alive,airbag,belted,f,50,1997,1993.0,nodeploy,pass
413.0,alive,airbag,belted,m,47,1997,1997.0,deploy,driver
414.0,alive,none,belted,m,56,1997,1991.0,unavail,driver
415.0,dead,none,belted,f,38,1997,1989.0,unavail,driver
416.0,alive,airbag,belted,f,33,1997,1995.0,nodeploy,driver
417.0,alive,none,belted,m,45,1997,1987.0,unavail,driver
418.0,alive,none,belted,m,17,1997,1987.0,unavail,driver
419.0,alive,none,none,m,18,1997,1993.0,unavail,driver
420.0,dead,none,none,m,75,1997,1986.0,unavail,driver
421.0,alive,none,none,m,20,1997,1977.0,unavail,driver
422.0,alive,none,none,m,22,1997,1977.0,unavail,pass
423.0,alive,airbag,belted,f,31,1997,1996.0,deploy,driver
424.0,alive,airbag,none,f,24,1997,1995.0,deploy,driver
425.0,alive,none,none,f,17,1997,1985.0,unavail,driver
426.0,alive,none,belted,m,19,1997,1985.0,unavail,pass
427.0,alive,airbag,none,f,62,1997,1996.0,deploy,driver
428.0,alive,none,belted,m,35,1997,1991.0,unavail,driver
429.0,alive,none,belted,f,25,1997,1984.0,unavail,driver
430.0,alive,none,belted,f,16,1997,1984.0,unavail,driver
431.0,alive,none,belted,m,33,1997,1994.0,unavail,driver
432.0,alive,none,belted,f,29,1997,1991.0,unavail,driver
433.0,alive,none,none,f,30,1997,1989.0,unavail,driver
434.0,alive,airbag,belted,m,17,1997,1992.0,deploy,driver
435.0,alive,airbag,belted,f,20,1997,1995.0,deploy,driver
436.0,alive,airbag,belted,m,66,1997,1996.0,deploy,driver
437.0,alive,none,belted,m,41,1997,1989.0,unavail,driver
