,Life Status,Airbag Available,Seatbelt in Use,Gender,Age of Occ,Accident Year,Vehicle Year,Airbag Deploy,Occ Role
56,alive,none,belted,f,20,1997,1986,unavail,driver
57,alive,airbag,none,m,74,1997,1993,deploy,driver
58,alive,airbag,none,f,17,1997,1996,nodeploy,driver
59,alive,airbag,none,f,16,1997,1996,nodeploy,pass
60,alive,airbag,none,f,20,1997,1996,nodeploy,driver
61,alive,airbag,none,m,19,1997,1996,nodeploy,pass
62,alive,none,none,m,26,1997,1983,unavail,driver
63,alive,airbag,belted,m,32,1997,1995,nodeploy,driver
64,alive,none,none,f,78,1997,1986,unavail,driver
65,alive,none,belted,m,40,1997,1985,unavail,driver
66,alive,none,belted,f,36,1997,1985,unavail,pass
67,alive,none,none,m,76,1997,1989,unavail,driver
68,alive,none,none,f,55,1997,1983,unavail,driver
69,alive,none,belted,m,45,1997,1986,unavail,driver
70,alive,none,belted,f,20,1997,1992,unavail,driver
71,alive,none,belted,f,43,1997,1992,unavail,pass
72,alive,none,belted,m,21,1997,1994,unavail,driver
73,alive,none,belted,m,44,1997,1988,unavail,driver
74,alive,none,belted,f,62,1997,1988,unavail,pass
75,alive,airbag,belted,f,20,1997,1997,deploy,driver
76,alive,airbag,belted,f,17,1997,1997,deploy,pass
77,alive,none,none,m,24,1997,1983,unavail,driver
78,alive,none,none,m,62,1997,1983,unavail,pass
79,alive,none,none,f,37,1997,1981,unavail,driver
80,alive,none,belted,f,82,1997,1988,unavail,driver
81,alive,none,belted,f,44,1997,1988,unavail,pass
82,alive,airbag,belted,f,23,1997,1994,nodeploy,driver
83,dead,none,belted,m,67,1997,1992,unavail,driver
84,dead,none,belted,f,64,1997,1992,unavail,pass
85,alive,none,belted,m,65,1997,1991,unavail,driver
86,alive,none,belted,f,42,1997,1988,unavail,driver
87,alive,none,none,f,21,1997,1989,unavail,driver
88,alive,airbag,belted,f,46,1997,1996,deploy,driver
89,alive,airbag,belted,f,17,1997,1996,deploy,pass
90,alive,none,belted,f,81,1997,1991,unavail,driver
91,alive,airbag,belted,m,50,1997,1992,nodeploy,driver
92,alive,none,belted,m,33,1997,1991,unavail,driver
93,alive,airbag,belted,m,40,1997,1995,deploy,driver
94,alive,airbag,belted,m,23,1997,1995,nodeploy,driver
95,alive,airbag,none,f,42,1997,1993,nodeploy,driver
96,alive,none,belted,f,17,1997,1986,unavail,driver
97,alive,none,belted,m,71,1997,1987,unavail,driver
98,alive,none,belted,m,66,1997,1979,unavail,driver
99,alive,none,none,f,20,1997,1989,unavail,driver
100,alive,none,none,m,18,1997,1987,unavail,driver
101,alive,none,none,m,26,1997,1987,unavail,pass
102,alive,none,none,m,20,1997,1981,unavail,driver
103,alive,none,none,f,19,1997,1981,unavail,pass
104,alive,none,none,m,18,1997,1986,unavail,driver
105,alive,none,belted,m,25,1997,1979,unavail,driver
106,alive,none,belted,m,21,1997,1982,unavail,driver
107,alive,none,belted,f,18,1997,1982,unavail,pass
108,alive,none,belted,f,18,1997,1990,unavail,driver
109,alive,none,none,f,20,1997,1990,unavail,pass
110,alive,none,belted,m,23,1997,1993,unavail,driver
111,alive,airbag,none,m,26,1997,1992,deploy,driver
112,alive,none,none,m,55,1997,1992,unavail,pass
113,alive,none,belted,f,37,1997,1988,unavail,driver
114,alive,airbag,none,f,50,1997,1996,deploy,driver
115,alive,none,belted,m,45,1997,1981,unavail,driver
116,alive,none,belted,m,75,1997,1987,unavail,driver
117,alive,airbag,belted,f,57,1997,1995,deploy,driver
118,alive,none,belted,f,17,1997,1989,unavail,driver
119,alive,none,belted,f,17,1997,1989,unavail,pass
120,alive,airbag,belted,f,50,1997,1995,deploy,driver
121,alive,none,none,f,77,1997,1989,unavail,driver
122,alive,airbag,none,m,22,1997,1994,deploy,driver
123,alive,none,belted,m,53,1997,1991,unavail,driver
124,alive,airbag,belted,m,42,1997,1991,deploy,driver
125,alive,none,belted,m,42,1997,1991,unavail,pass
126,alive,none,belted,m,20,1997,1987,unavail,driver
127,alive,airbag,belted,f,43,1997,1997,deploy,driver
128,alive,none,belted,m,17,1997,1985,unavail,driver
129,alive,none,none,m,16,1997,1985,unavail,pass
130,alive,airbag,none,f,30,1997,1992,deploy,driver
131,alive,none,belted,f,61,1997,1993,unavail,driver
132,alive,none,none,f,36,1997,1983,unavail,driver
133,alive,none,none,f,38,1997,1983,unavail,pass
134,alive,airbag,belted,m,31,1997,1996,nodeploy,driver
135,alive,airbag,none,f,25,1997,1996,nodeploy,pass
136,alive,none,belted,m,52,1997,1984,unavail,driver
137,alive,none,none,f,46,1997,1987,unavail,driver
138,alive,airbag,belted,f,30,1997,1993,deploy,driver
139,alive,none,belted,m,16,1997,1991,unavail,driver
140,alive,none,belted,f,16,1997,1991,unavail,pass
141,alive,none,belted,m,58,1997,1992,unavail,driver
142,alive,none,belted,f,18,1997,1987,unavail,driver
143,alive,none,belted,m,21,1997,1992,unavail,driver
144,alive,none,belted,f,17,1997,1992,unavail,pass
145,alive,none,none,m,71,1997,1986,unavail,driver
146,alive,airbag,belted,f,72,1997,1994,deploy,driver
147,alive,airbag,belted,m,71,1997,1994,deploy,pass
148,alive,none,belted,f,74,1997,1988,unavail,driver
149,alive,none,belted,m,41,1997,1985,unavail,driver
150,alive,none,belted,m,54,1997,1987,unavail,driver
151,alive,none,belted,f,61,1997,1987,unavail,pass
152,alive,none,none,m,41,1997,1984,unavail,driver
153,alive,none,belted,m,17,1997,1988,unavail,driver
154,alive,none,belted,f,17,1997,1988,unavail,pass
155,alive,airbag,belted,m,67,1997,1997,deploy,driver
156,alive,airbag,belted,f,66,1997,1997,deploy,pass
157,alive,none,belted,m,23,1997,1984,unavail,driver
158,alive,none,belted,m,29,1997,1988,unavail,driver
159,alive,none,belted,m,46,1997,1984,unavail,driver
160,alive,none,none,m,23,1997,1986,unavail,driver
161,alive,none,none,m,24,1997,1986,unavail,pass
162,alive,none,belted,m,67,1997,1986,unavail,driver
163,alive,none,none,m,51,1997,1985,unavail,driver
164,alive,none,none,m,46,1997,1985,unavail,pass
165,alive,none,belted,m,63,1997,1988,unavail,driver
166,alive,none,belted,f,51,1997,1988,unavail,pass
167,alive,airbag,belted,f,21,1997,1992,deploy,driver
168,alive,none,none,f,20,1997,1991,unavail,driver
169,alive,airbag,belted,f,21,1997,1996,deploy,driver
170,alive,none,belted,m,26,1997,1996,unavail,pass
171,alive,none,none,m,30,1997,1985,unavail,driver
172,alive,none,none,f,28,1997,1986,unavail,driver
173,alive,none,none,f,44,1997,1989,unavail,driver
174,alive,none,none,f,30,1997,1989,unavail,pass
175,alive,none,none,m,43,1997,1995,unavail,driver
176,alive,none,none,m,38,1997,1988,unavail,driver
177,alive,none,belted,m,59,1997,1981,unavail,driver
178,alive,none,belted,m,36,1997,1988,unavail,driver
179,alive,none,none,f,53,1997,1984,unavail,driver
180,alive,airbag,belted,f,32,1997,1996,nodeploy,driver
181,alive,airbag,belted,f,26,1997,1996,nodeploy,pass
182,alive,airbag,belted,f,36,1997,1996,nodeploy,driver
183,alive,none,none,m,39,1997,1984,unavail,driver
184,alive,none,belted,m,26,1997,1987,unavail,driver
185,alive,none,belted,m,28,1997,1988,unavail,driver
186,alive,none,none,m,23,1997,1983,unavail,driver
187,alive,airbag,belted,m,49,1997,1992,nodeploy,driver
188,alive,none,none,m,39,1997,1994,unavail,driver
189,alive,none,belted,f,35,1997,1992,unavail,driver
190,alive,none,belted,m,38,1997,1990,unavail,driver
191,alive,none,belted,f,38,1997,1987,unavail,driver
192,alive,none,belted,m,61,1997,1987,unavail,pass
193,alive,airbag,belted,m,19,1997,1996,deploy,driver
194,alive,airbag,none,m,22,1997,1997,deploy,driver
195,alive,none,none,m,26,1997,1986,unavail,driver
196,alive,none,none,f,26,1997,1986,unavail,pass
197,alive,none,belted,f,32,1997,1981,unavail,driver
198,alive,none,belted,f,19,1997,1986,unavail,driver
199,alive,none,none,m,31,1997,1989,unavail,driver
200,alive,none,none,m,31,1997,1989,unavail,pass
201,alive,airbag,none,m,78,1997,1993,deploy,driver
202,alive,airbag,none,m,28,1997,1994,nodeploy,driver
203,alive,airbag,belted,m,22,1997,1995,nodeploy,driver
204,alive,airbag,belted,f,70,1997,1995,nodeploy,pass
205,alive,none,none,m,66,1997,1989,unavail,driver
206,alive,none,belted,m,43,1997,1990,unavail,driver
207,alive,none,none,m,21,1997,1985,unavail,driver
208,alive,none,belted,f,39,1997,1992,unavail,driver
209,alive,none,belted,f,17,1997,1993,unavail,driver
210,alive,none,none,f,18,1997,1993,unavail,pass
211,alive,airbag,belted,f,77,1997,1995,nodeploy,driver
212,alive,none,none,f,30,1997,1993,unavail,driver
213,alive,none,belted,f,22,1997,1990,unavail,driver
214,alive,airbag,belted,m,56,1997,1991,deploy,driver
215,alive,none,none,m,17,1997,1987,unavail,driver
216,alive,none,none,m,17,1997,1987,unavail,pass
217,alive,none,none,m,19,1997,1987,unavail,driver
218,alive,airbag,belted,m,84,1997,1993,deploy,driver
219,alive,none,belted,f,17,1997,1989,unavail,driver
220,alive,none,belted,f,26,1997,1986,unavail,driver
221,alive,airbag,belted,m,87,1997,1995,deploy,driver
222,alive,airbag,belted,m,36,1997,1995,nodeploy,driver
223,alive,airbag,belted,m,68,1997,1994,deploy,driver
224,alive,none,belted,m,71,1997,1994,unavail,pass
225,alive,none,belted,f,40,1997,1991,unavail,driver
226,alive,airbag,belted,m,21,1997,1995,deploy,driver
227,alive,none,belted,f,81,1997,1993,unavail,driver
228,alive,none,belted,m,54,1997,1991,unavail,driver
229,alive,airbag,belted,f,22,1997,1996,deploy,driver
230,alive,none,belted,m,52,1997,1988,unavail,driver
231,alive,airbag,belted,f,60,1997,1997,nodeploy,driver
232,alive,none,belted,f,18,1997,1989,unavail,driver
233,alive,airbag,none,m,18,1997,1994,deploy,driver
234,alive,airbag,belted,f,79,1997,1994,deploy,driver
235,alive,airbag,belted,f,73,1997,1994,nodeploy,driver
236,alive,airbag,belted,f,72,1997,1994,nodeploy,pass
237,alive,none,belted,f,51,1997,1988,unavail,driver
238,alive,airbag,none,m,73,1997,1990,deploy,driver
239,alive,none,none,f,56,1997,1990,unavail,pass
240,alive,none,none,m,59,1997,1985,unavail,driver
241,alive,airbag,belted,f,23,1997,1992,nodeploy,driver
242,alive,none,belted,f,17,1997,1986,unavail,driver
243,alive,airbag,belted,m,30,1997,1997,deploy,driver
244,alive,none,none,f,25,1997,1997,unavail,pass
245,alive,none,none,f,56,1997,1988,unavail,driver
246,alive,none,belted,m,79,1997,1990,unavail,driver
247,alive,airbag,belted,f,24,1997,1994,deploy,driver
248,alive,none,belted,m,22,1997,1994,unavail,pass
249,alive,none,none,m,25,1997,1992,unavail,driver
250,alive,airbag,belted,f,73,1997,1991,deploy,driver
251,alive,none,belted,m,39,1997,1993,unavail,driver
252,alive,airbag,belted,f,39,1997,1995,deploy,driver
253,alive,airbag,belted,m,37,1997,1995,nodeploy,driver
254,alive,none,belted,f,74,1997,1991,unavail,driver
255,alive,airbag,belted,m,77,1997,1996,nodeploy,driver
256,alive,airbag,belted,f,76,1997,1996,nodeploy,pass
257,alive,none,belted,m,20,1997,1989,unavail,driver
258,alive,none,belted,f,24,1997,1987,unavail,driver
259,alive,none,none,m,41,1997,1987,unavail,driver
260,alive,none,belted,m,44,1997,1986,unavail,driver
261,alive,airbag,belted,m,19,1997,1995,deploy,driver
262,alive,airbag,none,m,46,1997,1995,deploy,driver
263,alive,airbag,none,m,86,1997,1995,deploy,pass
264,alive,airbag,belted,m,62,1997,1992,deploy,driver
265,dead,none,none,m,23,1997,1986,unavail,driver
266,alive,none,belted,m,26,1997,1994,unavail,driver
267,alive,airbag,belted,m,78,1997,1996,deploy,driver
268,alive,none,none,m,37,1997,1974,unavail,driver
269,alive,airbag,belted,m,47,1997,1991,deploy,driver
270,alive,none,belted,f,44,1997,1991,unavail,pass
271,alive,airbag,belted,m,62,1997,1994,nodeploy,driver
272,alive,airbag,belted,f,50,1997,1994,nodeploy,driver
273,alive,airbag,belted,f,76,1997,1994,nodeploy,pass
274,alive,airbag,none,m,51,1997,1995,deploy,driver
275,alive,none,belted,f,17,1997,1989,unavail,driver
276,alive,none,none,m,18,1997,1989,unavail,pass
277,alive,none,belted,f,17,1997,1989,unavail,driver
278,alive,none,none,f,42,1997,1989,unavail,driver
279,alive,airbag,belted,f,81,1997,1995,deploy,driver
280,alive,airbag,belted,f,77,1997,1991,nodeploy,driver
281,alive,airbag,belted,m,85,1997,1991,nodeploy,pass
282,alive,none,belted,m,83,1997,1985,unavail,driver
283,alive,airbag,belted,f,72,1997,1992,deploy,driver
284,alive,none,belted,m,18,1997,1986,unavail,driver
285,alive,airbag,belted,f,40,1997,1996,nodeploy,driver
286,alive,airbag,belted,f,23,1997,1996,deploy,driver
287,alive,airbag,belted,f,50,1997,1995,nodeploy,driver
288,alive,none,belted,m,32,1997,1990,unavail,driver
289,alive,airbag,none,m,56,1997,1994,deploy,driver
290,alive,none,belted,f,17,1997,1987,unavail,driver
291,alive,airbag,belted,m,76,1997,1996,deploy,driver
292,alive,airbag,belted,f,74,1997,1996,deploy,pass
293,alive,airbag,belted,m,73,1997,1996,deploy,driver
294,alive,none,none,m,38,1997,1987,unavail,driver
295,alive,none,none,f,41,1997,1987,unavail,pass
296,alive,none,none,m,64,1997,1993,unavail,driver
297,alive,airbag,belted,f,36,1997,1994,nodeploy,driver
298,alive,none,belted,f,18,1997,1979,unavail,driver
299,alive,airbag,belted,f,80,1997,1990,nodeploy,driver
300,alive,none,none,m,23,1997,1988,unavail,driver
301,alive,none,belted,f,22,1997,1983,unavail,driver
302,alive,airbag,belted,m,71,1997,1998,nodeploy,driver
303,alive,airbag,belted,f,21,1997,1995,nodeploy,driver
304,alive,none,belted,f,25,1997,1990,unavail,driver
305,alive,airbag,belted,m,79,1997,1997,deploy,driver
306,alive,airbag,belted,f,26,1997,1995,deploy,driver
307,alive,airbag,belted,m,38,1997,1994,nodeploy,driver
308,alive,airbag,belted,f,39,1997,1994,nodeploy,pass
309,alive,none,belted,f,17,1997,1987,unavail,driver
310,alive,none,belted,m,83,1997,1992,unavail,driver
311,dead,none,belted,f,77,1997,1992,unavail,pass
312,alive,none,belted,m,70,1997,1987,unavail,driver
313,alive,none,belted,f,65,1997,1987,unavail,pass
314,alive,none,belted,f,42,1997,1988,unavail,driver
315,alive,none,none,f,27,1997,1987,unavail,driver
316,alive,none,belted,f,51,1997,1987,unavail,driver
317,dead,none,none,m,34,1997,1990,unavail,driver
318,alive,none,none,m,20,1997,1981,unavail,driver
319,alive,airbag,belted,m,22,1997,1995,deploy,driver
320,alive,none,none,m,28,1997,1979,unavail,driver
321,dead,airbag,belted,m,37,1997,1995,deploy,driver
322,alive,airbag,none,m,31,1997,1996,deploy,driver
323,alive,none,none,m,68,1997,1991,unavail,driver
324,alive,airbag,none,m,45,1997,1993,deploy,driver
325,alive,airbag,belted,f,61,1997,1993,deploy,driver
326,alive,none,none,m,19,1997,1984,unavail,driver
327,alive,airbag,belted,m,30,1997,1995,nodeploy,driver
328,alive,airbag,belted,f,21,1997,1995,nodeploy,pass
329,alive,none,belted,m,22,1997,1989,unavail,driver
330,alive,none,belted,m,34,1997,1994,unavail,driver
331,alive,none,belted,f,29,1997,1994,unavail,driver
332,alive,airbag,none,f,73,1997,1995,deploy,driver
333,alive,airbag,belted,f,22,1997,1994,deploy,driver
334,alive,none,belted,f,60,1997,1986,unavail,driver
335,alive,airbag,belted,m,32,1997,1993,nodeploy,driver
336,alive,airbag,belted,m,30,1997,1993,nodeploy,pass
337,alive,none,belted,m,32,1997,1989,unavail,driver
338,alive,none,none,f,20,1997,1989,unavail,driver
339,alive,airbag,belted,m,73,1997,1994,deploy,driver
340,alive,airbag,none,m,34,1997,1997,nodeploy,driver
341,alive,airbag,belted,m,31,1997,1994,nodeploy,driver
342,alive,airbag,belted,f,39,1997,1994,nodeploy,driver
343,alive,none,belted,f,48,1997,1989,unavail,driver
344,alive,airbag,belted,m,26,1997,1997,deploy,driver
345,alive,none,belted,m,20,1997,1993,unavail,driver
346,alive,airbag,belted,f,41,1997,1997,nodeploy,driver
347,alive,airbag,belted,f,41,1997,1997,deploy,driver
348,alive,none,belted,m,27,1997,1992,unavail,driver
349,alive,airbag,belted,f,54,1997,1995,nodeploy,driver
350,alive,none,belted,m,18,1997,1994,unavail,driver
351,alive,none,none,f,38,1997,1985,unavail,driver
352,alive,none,none,m,29,1997,1985,unavail,pass
353,alive,none,none,m,85,1997,1986,unavail,driver
354,alive,none,none,f,55,1997,1986,unavail,pass
355,alive,none,none,f,40,1997,1988,unavail,driver
356,alive,none,belted,m,78,1997,1993,unavail,driver
357,alive,none,belted,f,83,1997,1993,unavail,pass
358,alive,airbag,none,f,20,1997,1994,deploy,driver
359,dead,none,none,f,33,1997,1987,unavail,driver
360,alive,none,none,m,37,1997,1987,unavail,pass
361,alive,airbag,belted,m,37,1997,1994,deploy,driver
362,alive,none,none,f,18,1997,1985,unavail,driver
363,alive,none,belted,f,79,1997,1990,unavail,driver
364,alive,airbag,belted,f,17,1997,1995,deploy,driver
365,alive,airbag,belted,f,17,1997,1995,deploy,pass
366,alive,none,none,m,26,1997,1989,unavail,driver
367,alive,none,none,m,20,1997,1989,unavail,pass
368,alive,none,belted,m,23,1997,1987,unavail,driver
369,alive,none,belted,f,19,1997,1987,unavail,pass
370,alive,none,belted,m,34,1997,1988,unavail,driver
371,alive,none,belted,f,34,1997,1990,unavail,driver
372,dead,airbag,none,f,84,1997,1996,deploy,driver
373,alive,none,belted,f,49,1997,1985,unavail,driver
374,alive,none,belted,f,82,1997,1985,unavail,pass
375,dead,none,none,m,87,1997,1981,unavail,driver
376,alive,none,none,m,16,1997,1989,unavail,driver
377,alive,airbag,belted,f,33,1997,1994,deploy,driver
378,alive,none,belted,m,47,1997,1994,unavail,driver
379,alive,none,belted,f,18,1997,1990,unavail,driver
380,alive,airbag,belted,m,62,1997,1994,deploy,driver
381,alive,none,belted,m,74,1997,1985,unavail,driver
382,alive,none,none,m,37,1997,1991,unavail,driver
383,alive,none,none,f,42,1997,1991,unavail,pass
384,alive,airbag,belted,f,36,1997,1995,nodeploy,driver
385,alive,none,none,f,30,1997,1990,unavail,driver
386,alive,none,none,m,50,1997,1989,unavail,driver
387,alive,none,belted,m,18,1997,1979,unavail,driver
388,alive,none,none,m,20,1997,1979,unavail,pass
389,alive,airbag,belted,f,17,1997,1991,nodeploy,driver
390,alive,airbag,belted,f,17,1997,1991,nodeploy,pass
391,alive,airbag,belted,m,44,1997,1994,deploy,driver
392,alive,airbag,belted,f,27,1997,1997,deploy,driver
393,alive,none,belted,m,58,1997,1990,unavail,driver
394,alive,none,belted,m,63,1997,1993,unavail,driver
395,alive,airbag,belted,m,17,1997,1992,deploy,driver
396,alive,none,belted,f,18,1997,1990,unavail,driver
397,alive,airbag,belted,m,28,1997,1995,deploy,driver
398,alive,none,none,m,56,1997,1995,unavail,pass
399,alive,none,belted,f,56,1997,1995,unavail,driver
400,alive,none,belted,f,73,1997,1989,unavail,driver
401,alive,none,belted,f,62,1997,1989,unavail,pass
402,alive,airbag,belted,m,20,1997,1994,deploy,driver
403,alive,airbag,belted,f,45,1997,1994,deploy,pass
404,alive,airbag,none,f,26,1997,1992,deploy,driver
405,alive,none,none,m,39,1997,1992,unavail,driver
406,alive,airbag,belted,m,44,1997,1995,deploy,driver
407,alive,airbag,belted,f,23,1997,1992,deploy,driver
408,alive,none,belted,f,22,1997,1992,unavail,pass
409,alive,none,belted,f,22,1997,1991,unavail,driver
410,alive,none,none,m,49,1997,1988,unavail,driver
411,alive,airbag,belted,f,24,1997,1993,nodeploy,driver
412,alive,airbag,belted,f,50,1997,1993,nodeploy,pass
413,alive,airbag,belted,m,47,1997,1997,deploy,driver
414,alive,none,belted,m,56,1997,1991,unavail,driver
415,dead,none,belted,f,38,1997,1989,unavail,driver
416,alive,airbag,belted,f,33,1997,1995,nodeploy,driver
417,alive,none,belted,m,45,1997,1987,unavail,driver
418,alive,none,belted,m,17,1997,1987,unavail,driver
419,alive,none,none,m,18,1997,1993,unavail,driver
420,dead,none,none,m,75,1997,1986,unavail,driver
421,alive,none,none,m,20,1997,1977,unavail,driver
422,alive,none,none,m,22,1997,1977,unavail,pass
423,alive,airbag,belted,f,31,1997,1996,deploy,driver
424,alive,airbag,none,f,24,1997,1995,deploy,driver
425,alive,none,none,f,17,1997,1985,unavail,driver
426,alive,none,belted,m,19,1997,1985,unavail,pass
427,alive,airbag,none,f,62,1997,1996,deploy,driver
428,alive,none,belted,m,35,1997,1991,unavail,driver
429,alive,none,belted,f,25,1997,1984,unavail,driver
430,alive,none,belted,f,16,1997,1984,unavail,driver
431,alive,none,belted,m,33,1997,1994,unavail,driver
432,alive,none,belted,f,29,1997,1991,unavail,driver
433,alive,none,none,f,30,1997,1989,unavail,driver
434,alive,airbag,belted,m,17,1997,1992,deploy,driver
435,alive,airbag,belted,f,20,1997,1995,deploy,driver
436,alive,airbag,belted,m,66,1997,1996,deploy,driver
437,alive,none,belted,m,41,1997,1989,unavail,driver
438,alive,none,belted,f,22,1997,1984,unavail,driver
439,alive,none,belted,m,22,1997,1984,unavail,pass
440,alive,none,belted,f,35,1997,1991,unavail,driver
441,dead,none,none,m,37,1997,1987,unavail,driver
442,alive,airbag,none,f,67,1997,1995,deploy,driver
443,alive,airbag,belted,m,31,1997,1994,deploy,driver
444,alive,none,none,m,31,1997,1992,unavail,driver
445,alive,airbag,belted,f,18,1997,1996,deploy,driver
446,alive,airbag,belted,f,18,1997,1996,deploy,pass
447,alive,none,belted,m,23,1997,1988,unavail,driver
448,alive,airbag,belted,f,47,1997,1996,deploy,driver
449,alive,none,belted,f,39,1997,1988,unavail,driver
450,alive,airbag,belted,f,24,1997,1996,nodeploy,driver
451,alive,airbag,none,f,50,1997,1994,deploy,driver
452,dead,none,none,m,19,1997,1989,unavail,driver
453,alive,none,none,f,19,1997,1989,unavail,pass
454,alive,none,none,m,32,1997,1981,unavail,driver
455,dead,none,none,m,22,1997,1981,unavail,pass
456,alive,airbag,belted,m,45,1997,1996,nodeploy,driver
457,alive,airbag,belted,f,46,1997,1996,deploy,driver
458,alive,none,none,f,28,1997,1989,unavail,driver
459,alive,airbag,none,f,34,1997,1994,deploy,driver
460,dead,none,none,f,76,1997,1993,unavail,driver
461,alive,none,belted,m,42,1997,1987,unavail,driver
462,alive,none,none,f,21,1997,1987,unavail,driver
463,alive,none,belted,f,20,1997,1984,unavail,driver
464,alive,none,belted,f,20,1997,1984,unavail,pass
465,alive,airbag,none,m,20,1997,1996,deploy,driver
466,alive,airbag,none,m,21,1997,1993,deploy,driver
467,alive,airbag,belted,m,28,1997,1994,deploy,driver
468,alive,airbag,belted,f,36,1997,1994,deploy,pass
469,alive,airbag,none,m,45,1997,1996,nodeploy,driver
470,alive,airbag,none,f,39,1997,1996,nodeploy,pass
471,alive,airbag,none,m,20,1997,1994,deploy,driver
472,alive,airbag,none,m,20,1997,1994,deploy,pass
473,alive,none,belted,m,18,1997,1989,unavail,driver
474,dead,none,belted,f,17,1997,1989,unavail,pass
475,alive,none,none,m,41,1997,1993,unavail,driver
476,alive,airbag,belted,f,54,1997,1991,deploy,driver
477,alive,airbag,belted,m,16,1997,1992,nodeploy,driver
478,alive,airbag,belted,m,17,1997,1992,nodeploy,pass
479,alive,airbag,none,m,25,1997,1995,deploy,driver
480,alive,none,belted,f,24,1997,1990,unavail,driver
481,alive,none,none,f,20,1997,1991,unavail,driver
482,alive,none,none,m,22,1997,1991,unavail,pass
483,alive,none,none,m,24,1997,1987,unavail,driver
484,dead,none,none,m,33,1997,1987,unavail,pass
485,alive,airbag,none,f,31,1997,1995,deploy,driver
486,dead,none,belted,m,62,1997,1987,unavail,driver
487,alive,airbag,none,m,31,1997,1994,deploy,driver
488,alive,none,none,m,38,1997,1986,unavail,driver
489,alive,airbag,belted,m,33,1997,1996,deploy,driver
490,alive,none,belted,m,45,1997,1989,unavail,driver
491,alive,airbag,belted,m,66,1997,1995,deploy,driver
492,dead,airbag,belted,f,63,1997,1995,deploy,pass
493,alive,none,none,m,53,1997,1985,unavail,driver
494,alive,none,none,f,42,1997,1985,unavail,pass
495,alive,airbag,none,m,28,1997,1990,deploy,driver
496,alive,none,belted,m,42,1997,1990,unavail,pass
497,alive,none,none,m,39,1997,1988,unavail,driver
498,dead,airbag,belted,m,70,1997,1990,deploy,driver
499,alive,none,none,f,20,1997,1984,unavail,driver
500,alive,none,none,m,23,1997,1984,unavail,pass
501,alive,none,none,m,28,1997,1991,unavail,driver
